GivenName,Surname,Birthday,CountryFull,Kilograms,Centimeters,BloodType
Fábio,Oliveira,8/18/1996,Czech Republic,92.4,165,B+
Meneaduc,Galbassi,1/30/1984,Denmark,48.3,90,O+
Innocent,Yefimov,8/23/1989,Belgium,56.8,186,B+
Rinat,Yudin,3/13/1980,Austria,77.2,169,B+
Hleb,Averyanov,5/16/1985,Cyprus (Anglicized),99.5,186,O+
Madoc,Baggins,8/13/1995,Canada,66.5,88,O+
Ralph,Rawls,4/20/1987,Canada,66.2,177,O+
Arthur,Bezrukov,11/22/1984,Denmark,64.2,186,O+
Blanco,Baggins,8/11/1979,Cyprus (Anglicized),58.5,85,O+
Victor,Houston,10/3/1981,Czech Republic,100.7,180,O+
Theodore,Bulgakov,11/17/1983,Canada,63.4,184,A+
Vincent,Smith,8/16/1986,Brazil,61.6,170,B+
Samuel,Nichols,11/19/1982,Belgium,104.5,188,O+
Olivier,Graham,10/6/1978,Cyprus (Anglicized),95.7,184,A+
Vinicius,Dias,2/10/1997,Czech Republic,74.1,172,A+
Paul,Douglas,2/1/1983,Austria,103.9,170,O+
Muhammed,Fraser,6/24/1993,Czech Republic,96.9,190,A+
Oles,Medvedev,11/30/1982,Cyprus (Anglicized),77.2,180,B+
Frank,Watt,11/5/1996,Canada,62.7,170,A+
Maura,Took-Brandybuck,1/2/1983,Canada,66.5,102,O+
Otho,Hogpen,5/6/1989,Belgium,66.8,67,A+
Anthony,Sommerfield,5/11/1984,Belgium,93.6,172,O+
Ayaan,Kennedy,2/26/1989,Belgium,100.9,175,A+
Dennis,Izmailov,5/2/1993,Canada,62.9,181,O+
Holman,Roper,3/19/1984,Czech Republic,57.8,64,O+
Kauã,Silva,8/16/1981,Canada,87.1,183,A+
Paul,Miller,1/3/1981,Belgium,70.0,179,B+
Thiago,Cavalcanti,10/18/1978,Brazil,94.0,173,A+
Gerald,Brown,8/1/1988,Cyprus (Anglicized),106.8,167,O+
Noah,McKenzie,2/27/1982,Cyprus (Anglicized),81.3,178,A+
Julian,Lima,1/29/1979,Czech Republic,96.2,187,O+
Scudamor,Brown,9/26/1991,Canada,56.3,119,O+
Eoghan,White,6/15/1993,Belgium,61.7,164,AB+
Emelyan,Kapustin,2/28/1984,Austria,74.7,174,O+
Eoin,Mitchell,6/8/1985,Cyprus (Anglicized),74.5,175,AB+
Dale,Milne,7/9/1979,Austria,96.8,183,A+
Ryan,Fernandes,10/22/1989,Austria,69.1,178,A+
Andrew,Bruce,8/21/1987,Czech Republic,68.6,178,A+
Fastolph,Bolger,4/7/1979,Cyprus (Anglicized),66.8,65,O+
Cotman,Gawkroger,10/4/1978,Austria,45.0,66,O+
Kerry,Cousar,4/5/1990,Denmark,101.9,183,A+
Proclus,Avdeev,10/28/1990,Cyprus (Anglicized),70.0,185,O+
Kyran,Kennedy,9/29/1980,Denmark,104.2,178,B+
Maxim,Yermolayev,11/17/1987,Czech Republic,109.5,180,A-
Dexter,Robertson,3/8/1991,Czech Republic,90.5,176,AB+
Robin,Macleod,5/26/1997,Belgium,56.5,177,O+
Breno,Cavalcanti,10/13/1996,Czech Republic,89.3,182,B+
Codey,Ritchie,6/22/1985,Brazil,72.5,190,B+
Elisha,Bezrukov,2/12/1985,Austria,64.0,176,A+
Danny,Williamson,6/1/1984,Cyprus (Anglicized),73.9,183,O+
Harris,Martin,3/4/1985,Belgium,87.4,181,O+
Davi,Rocha,3/24/1985,Belgium,69.7,190,A-
Charles,Anderson,8/15/1985,Denmark,93.5,182,O+
Aden,Watson,7/10/1987,Czech Republic,81.6,178,O+
Brodie,Hay,5/9/1985,Cyprus (Anglicized),100.4,188,O+
Samwise,Gardner,5/1/1985,Cyprus (Anglicized),63.8,62,O+
Emelyan,Fedorov,4/7/1988,Austria,109.6,175,B+
Luan,Goncalves,8/9/1996,Cyprus (Anglicized),87.6,169,A+
Minto,Burrowes,4/5/1986,Cyprus (Anglicized),48.7,111,B+
James,Wright,10/20/1978,Denmark,66.0,181,B+
Quinn,Wright,9/13/1988,Cyprus (Anglicized),63.5,178,A+
Brian,Hackworth,4/25/1994,Canada,56.1,165,A+
Luan,Rodrigues,5/29/1991,Czech Republic,72.2,167,A+
Quinn,McIntyre,7/16/1994,Austria,66.5,177,AB+
Willie,Kreger,12/14/1981,Denmark,112.5,188,B+
Samuel,Rodrigues,10/16/1990,Austria,72.4,180,B+
Richard,Heffner,6/21/1989,Cyprus (Anglicized),81.1,169,A+
Evdokim,Zubarev,4/4/1988,Czech Republic,72.8,175,A-
Trofim,Voronoff,2/14/1986,Austria,78.8,176,B+
Blasius,Balabanov,1/31/1981,Belgium,104.8,173,O+
John,Lavoie,2/20/1988,Brazil,73.8,170,O+
Blanco,Noakes,11/21/1984,Belgium,45.8,95,O+
Crassus,Noakes,6/18/1984,Cyprus (Anglicized),59.4,91,B+
Finn,Maclean,2/21/1984,Czech Republic,90.1,179,A+
Malik,Izmailov,4/5/1988,Brazil,105.9,186,O+
Luis,Fernandes,4/24/1997,Austria,58.1,185,A+
Sidor,Alexandrov,9/9/1985,Czech Republic,104.5,171,B-
Thomas,Pokrovsky,12/11/1989,Austria,86.3,188,B+
Ian,Wilson,9/22/1978,Cyprus (Anglicized),109.4,187,AB+
Gerard,Grant,8/20/1979,Brazil,96.7,184,A-
Fulvus,Gammidge,6/16/1980,Cyprus (Anglicized),47.0,75,B+
Guy,Thompson,11/14/1983,Brazil,74.9,177,O+
Kai,Pinto,12/13/1982,Belgium,113.4,181,B+
Josh,Bruce,2/1/1992,Belgium,82.6,169,O+
Vitor,Carvalho,12/9/1981,Cyprus (Anglicized),99.2,171,O+
Tiago,Oliveira,2/8/1986,Czech Republic,81.9,168,AB+
Celedor,Diggle,3/29/1993,Austria,51.9,72,B+
Paladin,Bunce,12/8/1984,Cyprus (Anglicized),67.9,119,O+
Basso,Sandheaver,3/6/1993,Brazil,65.5,88,O+
Nicholas,Shropshire,8/3/1978,Cyprus (Anglicized),112.5,171,O+
Polo,Gawkroger,7/29/1991,Denmark,45.2,84,A+
Bruno,Gomes,8/17/1982,Denmark,103.2,188,A+
Philip,Alekseyeva,9/3/1978,Belgium,92.7,188,A+
Belisarius,Brandybuck,8/17/1982,Czech Republic,64.4,78,A+
Athanaric,Chubb-Baggins,9/9/1992,Cyprus (Anglicized),46.3,76,O+
Miguel,Castro,8/22/1981,Austria,83.4,169,AB+
Oran,Clark,7/31/1985,Cyprus (Anglicized),81.6,169,B-
Minto,Baggins,5/31/1989,Brazil,56.8,73,O+
Kauan,Rocha,5/11/1989,Canada,65.9,186,B+
Modest,Vagin,7/10/1993,Belgium,94.1,167,B+
Stewart,Jamieson,9/9/1979,Canada,104.1,182,A+
Vitor,Costa,3/18/1991,Czech Republic,99.6,168,B+
Rodrigo,Gomes,7/28/1979,Denmark,66.4,175,A+
Taras,Yevdokimov,8/21/1984,Canada,63.7,182,AB+
Derek,Fraser,10/12/1991,Cyprus (Anglicized),77.7,184,A+
Enzo,Pinto,10/10/1981,Austria,106.5,173,O+
Joey,Shaw,7/17/1994,Cyprus (Anglicized),78.6,186,A+
Matthew,Wiggins,10/26/1979,Czech Republic,83.3,190,O+
Edward,Golubov,12/20/1989,Cyprus (Anglicized),66.0,187,O+
Alex,Nave,11/10/1985,Brazil,66.8,190,A+
Anthony,Perry,9/21/1982,Czech Republic,87.3,174,A+
Zinovy,Muravyov,9/25/1993,Canada,67.5,190,O+
Maura,Tunnelly,8/13/1980,Cyprus (Anglicized),62.8,77,B+
Benjamin,Douglas,4/24/1984,Belgium,68.4,176,B+
Warren,Clark,4/2/1995,Cyprus (Anglicized),58.3,165,A+
Kai,Hay,6/8/1989,Czech Republic,69.0,171,AB+
Ramiro,Sokolov,10/31/1983,Cyprus (Anglicized),87.5,173,A-
Mungo,Headstrong,9/5/1995,Czech Republic,46.3,91,O-
Martim,Rodrigues,7/21/1979,Austria,63.6,190,O+
Sadoc,Gamgee,10/4/1982,Brazil,51.6,99,O+
Mateus,Azevedo,2/28/1979,Belgium,104.1,188,A+
Trifon,Pokrovsky,1/30/1995,Brazil,69.1,177,AB+
Grossman,Banks,1/29/1994,Belgium,67.6,73,A+
Rafael,Ribeiro,4/22/1982,Austria,85.9,180,O+
Marcus,Burrowes,10/20/1982,Cyprus (Anglicized),48.4,104,O-
Valerie,Sergeyev,6/21/1979,Belgium,85.1,181,O+
Erling,Roper,1/31/1983,Brazil,50.6,90,A+
Hleb,Fokine,2/10/1983,Belgium,73.3,190,O+
Ernest,Alekseeva,6/14/1980,Denmark,100.2,183,A+
Nibs,Took,12/28/1985,Belgium,53.4,81,A+
Leslie,King,12/4/1994,Denmark,87.5,168,A+
Henry,Mackenzie,5/25/1992,Czech Republic,77.5,167,A+
Sebastian,Mishin,2/25/1983,Austria,102.3,168,AB+
Proclus,Vinogradoff,9/25/1991,Czech Republic,57.6,174,B-
Gerasimos,Balabanov,12/4/1996,Czech Republic,72.1,178,A+
Victor,Melo,11/24/1992,Czech Republic,60.2,173,O+
George,Ritchie,7/1/1995,Cyprus (Anglicized),72.2,173,O+
Fritz,Holmes,10/12/1979,Brazil,78.2,185,B+
Hugo,Baggins,7/17/1985,Austria,61.9,111,O-
Numbers,Summers,11/11/1989,Cyprus (Anglicized),98.8,187,B+
Hamfast,Whitfoot,10/27/1991,Cyprus (Anglicized),54.2,79,A+
Everett,Chambers,4/3/1985,Canada,111.5,185,A+
Paulo,Azevedo,3/15/1979,Cyprus (Anglicized),102.5,172,O+
Lamorac,Galbassi,9/13/1991,Czech Republic,57.6,104,O+
Thiago,Santos,6/3/1994,Belgium,62.5,166,B+
Mac,Macleod,6/7/1988,Cyprus (Anglicized),87.8,171,AB+
Kevin,Smith,2/10/1991,Cyprus (Anglicized),74.6,171,O+
Ranugad,Hornblower,12/11/1992,Cyprus (Anglicized),59.7,80,A+
Thomas,Nekrasov,4/6/1992,Brazil,77.5,177,O+
Alex,Dunham,8/12/1994,Cyprus (Anglicized),54.0,179,B+
Pimen,Zuev,8/20/1979,Denmark,64.8,175,A+
Tony,Bruce,5/10/1991,Brazil,69.1,174,A-
Eoghan,Stevenson,1/6/1992,Belgium,101.2,183,O+
Estevan,Araujo,3/30/1994,Brazil,65.8,169,A+
Paul,Wright,3/16/1986,Cyprus (Anglicized),99.6,180,O+
Polo,Button,8/4/1991,Brazil,65.7,86,B+
Leon,Kudryashov,9/30/1989,Denmark,88.6,169,B-
Roland,Zubarev,3/23/1996,Brazil,92.1,165,O+
Thomas,Alekseeva,6/20/1979,Cyprus (Anglicized),111.0,180,B+
Leland,Millar,2/10/1994,Austria,82.1,171,O+
Ryan,Silva,11/19/1985,Cyprus (Anglicized),78.6,181,B+
Joseph,Alekseyeva,12/21/1991,Denmark,100.6,186,A+
Faramir,Bolger,7/9/1987,Canada,46.8,101,O+
Kaua,Rodrigues,8/21/1981,Cyprus (Anglicized),113.9,180,O+
Lennox,Forbes,2/1/1997,Brazil,80.4,163,O+
Alberic,Hogpen,1/11/1990,Belgium,59.2,65,A+
Adam,Sidorov,6/10/1980,Austria,84.1,189,A+
Mathew,Burns,3/29/1984,Brazil,76.4,172,O+
Zane,Fleming,12/18/1982,Canada,73.1,183,AB+
Gabriel,Evdokimov,3/8/1983,Belgium,94.9,187,B+
Michael,Hughes,11/23/1985,Denmark,72.5,170,A+
William,Ruiz,11/12/1983,Canada,91.8,174,A-
Arron,Graham,3/28/1995,Czech Republic,65.2,169,A-
Rustam,Yusupov,8/1/1988,Austria,96.1,171,O+
Rudibert,Bracegirdle,9/15/1985,Canada,57.1,110,O+
Marcos,Santos,4/28/1983,Brazil,73.0,171,B+
Rufus,Button,9/7/1979,Belgium,50.4,121,A+
Sméagol,Gamgee,7/22/1990,Canada,64.4,108,A+
Leonardo,Cardoso,3/29/1989,Cyprus (Anglicized),102.0,167,A+
Otávio,Correia,2/3/1995,Brazil,77.8,187,A+
Billy,Marshall,12/5/1979,Belgium,66.7,177,B+
Makar,Kovalyov,10/22/1991,Belgium,99.5,167,B-
Jacob,Matveyev,1/20/1981,Brazil,72.6,174,A+
Albert,Alexeyeva,4/23/1995,Cyprus (Anglicized),81.5,163,O+
Bob,Goodman,5/5/1981,Cyprus (Anglicized),86.3,172,A+
Thaddeus,Muravyov,12/17/1992,Canada,105.3,187,A+
Frazer,Hamilton,5/20/1994,Cyprus (Anglicized),71.5,166,A+
Ruaraidh,Findlay,6/25/1992,Brazil,86.3,177,O+
Samson,Ponomaryov,4/22/1987,Brazil,79.5,187,O+
Kane,Murphy,11/30/1987,Czech Republic,64.7,179,A+
Daniel,Barbosa,9/14/1979,Cyprus (Anglicized),108.4,172,O+
Caelan,Wright,6/18/1981,Brazil,107.2,168,O+
Robert,Hodge,5/2/1988,Austria,85.0,181,O-
Cooper,Duncan,10/26/1978,Cyprus (Anglicized),101.8,188,B+
Valentine,Butusov,10/19/1988,Canada,107.3,186,O+
Bungo,Smallburrow,5/6/1979,Belgium,63.4,62,AB+
José,Pinto,10/17/1979,Canada,106.0,183,B+
Marat,Afanasyev,10/10/1991,Cyprus (Anglicized),91.9,167,O-
Theodore,Gorshkov,9/9/1986,Canada,61.8,181,A+
Kyle,Pyatt,11/15/1989,Canada,77.7,177,A+
Andy,Parker,4/7/1986,Denmark,99.4,180,O+
Erick,Costa,7/2/1983,Austria,91.5,169,O+
Mike,Rooney,1/16/1985,Czech Republic,93.6,175,A+
Justin,Hoskins,5/20/1994,Canada,61.3,163,A+
Arthur,McIntyre,11/28/1983,Cyprus (Anglicized),98.5,178,B+
Hilarion,Bobrov,7/8/1978,Austria,64.4,175,AB+
Felipe,Martins,5/6/1995,Austria,89.9,187,O+
Mitrofan,Izmaylov,6/2/1981,Canada,76.3,174,A+
Blair,Hamilton,9/11/1994,Brazil,56.7,177,B+
Makar,Ibrahimov,11/13/1982,Belgium,104.5,187,A+
Riley,Bruce,7/23/1978,Cyprus (Anglicized),72.7,169,A+
Nicephorus,Sozonov,1/29/1996,Austria,64.5,182,O+
Harvey,Brown,2/13/1986,Canada,105.6,188,A+
Rostislav,Tokaryev,7/15/1987,Cyprus (Anglicized),100.6,175,A+
Lyle,Murray,7/12/1995,Czech Republic,58.5,180,A-
George,Kazantsev,2/21/1980,Canada,87.9,178,B+
Kadyn,Gordon,2/3/1987,Cyprus (Anglicized),64.9,171,AB+
Kauê,Goncalves,8/3/1980,Austria,107.8,183,O+
Isumbras,Goodbody,7/8/1996,Cyprus (Anglicized),53.4,76,B+
Piotr,Williamson,5/5/1991,Belgium,108.6,183,A+
Bilbo,Bolger-Baggins,9/24/1980,Canada,67.7,63,A+
Arlo,Watt,4/14/1981,Belgium,84.8,169,A+
Richard,Palmer,7/20/1983,Canada,64.8,188,B+
Thaddeus,Bodrov,2/6/1983,Brazil,104.8,185,A+
Daniel,Ibrahimov,4/27/1987,Belgium,64.7,190,A+
Erick,Silva,7/19/1979,Brazil,77.9,185,B+
Gundahar,Brockhouse,10/8/1995,Brazil,45.7,64,B+
Adam,Degtyarev,2/18/1982,Austria,89.6,188,O+
Tomacca,Sackville,10/4/1996,Denmark,47.7,96,A+
Anthony,Wright,6/11/1995,Czech Republic,82.1,175,B-
Jason,Gannaway,4/8/1983,Cyprus (Anglicized),74.4,178,O+
Nicodemus,Abramowitz,12/22/1979,Denmark,90.7,189,O+
Michael,Steiner,7/24/1993,Belgium,75.9,179,B+
Leonti,Boholyubov,5/3/1984,Brazil,91.1,185,A+
Aaran,Johnstone,11/18/1980,Brazil,101.8,180,B+
Andrew,Kopp,11/12/1989,Canada,98.6,170,O-
Victor,Araujo,3/30/1996,Austria,79.4,189,B+
Ceredic,Twofoot,12/25/1987,Brazil,48.5,106,O+
Dudo,Burrows,1/22/1987,Cyprus (Anglicized),54.2,111,O+
Herman,Abramoff,2/10/1997,Cyprus (Anglicized),52.7,174,O+
Bilbo,Maggot,8/15/1981,Denmark,59.0,62,A+
Victor,Williamson,6/14/1994,Cyprus (Anglicized),81.0,174,A+
Ansegar,Puddifoot,7/17/1990,Canada,54.2,100,O+
Xenophon,Korovin,8/26/1988,Denmark,98.7,178,O-
Thiago,Rocha,9/26/1994,Belgium,95.2,173,O+
André,Souza,1/10/1997,Canada,57.8,183,A+
Fredegar,Hogpen,2/28/1983,Brazil,60.6,88,A+
Emil,Fedorov,7/1/1978,Cyprus (Anglicized),62.2,173,A+
Carl,Vasiliev,11/3/1981,Austria,103.1,190,O-
Bruno,Cardoso,7/16/1996,Denmark,57.3,177,A+
Bercilac,Gamgee,11/9/1995,Brazil,51.7,120,A+
John,McCoy,6/18/1994,Brazil,87.7,182,O+
Lee,Alston,7/17/1990,Czech Republic,74.3,187,O+
Houston,Longo,3/29/1994,Denmark,59.1,183,O+
Hending,Gammidge,8/1/1980,Canada,48.2,103,A+
Savely,Volkov,6/28/1980,Cyprus (Anglicized),67.4,175,AB+
Oleg,Anisimov,11/2/1991,Brazil,60.2,173,A+
Eduardo,Lima,6/23/1992,Cyprus (Anglicized),71.4,170,O+
Seraphim,Nekrasov,2/12/1993,Austria,59.3,180,O+
Kauê,Cavalcanti,6/16/1981,Belgium,89.4,189,AB+
Ivan,Ritchie,8/15/1984,Denmark,111.7,185,B+
Eldar,Pirogov,6/13/1988,Austria,95.5,189,B+
Lotho,Brandagamba,10/26/1980,Canada,60.3,61,A+
Seredic,Burrows,7/26/1992,Denmark,45.0,63,O+
Roland,Zotov,10/14/1985,Cyprus (Anglicized),67.7,173,A+
Vitór,Martins,8/29/1984,Canada,85.5,180,A+
Rafael,Fernandes,8/31/1991,Denmark,63.8,190,A+
Robert,Smith,3/8/1985,Canada,71.5,173,B+
Hubert,McKenzie,6/5/1983,Czech Republic,111.2,183,A+
Vladlen,Ignatieff,7/24/1990,Brazil,107.2,185,B+
Roger,Graham,12/24/1994,Brazil,55.1,174,A-
Antônio,Costa,12/9/1985,Austria,101.8,181,O+
Danny,Smith,7/22/1984,Belgium,90.6,182,O+
Inigo,Button,3/12/1979,Canada,54.7,67,A+
Jamal,Abramowitz,11/8/1992,Cyprus (Anglicized),94.0,187,O+
Beau,Kennedy,12/17/1995,Cyprus (Anglicized),57.8,172,O+
Sago,Twofoot,1/15/1993,Brazil,66.9,101,B+
Cole,Clark,11/25/1992,Canada,109.1,170,A+
Paul,Love,3/11/1990,Austria,100.8,176,O-
Rafael,Lima,1/8/1990,Canada,63.1,181,A+
Lamorac,Baggins,10/13/1982,Cyprus (Anglicized),58.6,76,O+
Toby,Diggle,4/6/1979,Cyprus (Anglicized),48.7,74,B+
Rafael,Barros,7/24/1993,Czech Republic,91.7,176,B-
Alastair,Gordon,10/4/1980,Cyprus (Anglicized),68.2,181,B+
Fred,Chaney,5/7/1980,Brazil,96.0,178,O+
Folco,Gaukrogers,5/12/1979,Brazil,52.7,88,B+
William,Simmons,8/12/1986,Brazil,111.1,188,O-
Rafael,Santos,12/23/1981,Czech Republic,104.4,183,A+
Everett,Webster,1/28/1991,Czech Republic,69.0,167,AB+
Lukasz,Robertson,7/8/1988,Cyprus (Anglicized),84.8,174,O-
Breno,Silva,5/24/1992,Canada,85.8,185,A+
Balbo,Clayhanger,8/27/1982,Cyprus (Anglicized),60.3,72,AB+
Pedro,Martins,3/19/1997,Canada,83.0,169,O+
Jaroslav,Volkov,5/17/1985,Canada,73.9,179,O+
Nahum,Bogolyubov,6/29/1996,Czech Republic,49.6,183,AB+
Matthew,Konovalov,12/27/1979,Belgium,92.8,179,B+
Fábio,Alves,3/27/1995,Belgium,74.6,173,O+
Pedro,Almeida,6/19/1986,Cyprus (Anglicized),81.5,177,O+
Nazar,Baranov,2/11/1995,Cyprus (Anglicized),92.6,167,O+
Isaac,Alexeeva,5/11/1987,Brazil,94.0,181,O-
Brooklyn,King,10/18/1983,Cyprus (Anglicized),72.6,179,A-
Dusty,Bondi,1/27/1987,Austria,102.6,184,A+
Cody,Ferguson,2/5/1992,Brazil,96.4,180,O+
Bilcuzal,Sandheaver,12/7/1979,Cyprus (Anglicized),63.9,69,O+
Isaac,Baryshnikov,2/2/1985,Canada,105.8,171,O+
Edward,Shore,10/14/1992,Belgium,107.4,186,O+
Merimas,Burrowes,10/30/1979,Austria,48.1,99,O+
Jamel,Clark,8/3/1995,Canada,78.7,172,B+
Jose,Pasko,1/26/1993,Canada,97.3,181,O+
Brian,Barber,9/3/1996,Denmark,71.1,172,O+
Albert,Fleming,7/16/1986,Denmark,78.9,182,B+
Déagol,Bracegirdle,5/25/1984,Denmark,59.1,114,A-
Joseph,Rogers,2/24/1989,Brazil,97.8,167,B+
Carl,Baggins,8/28/1993,Denmark,52.2,61,O+
Olo,Goldworthy,5/28/1990,Brazil,49.6,113,A+
Gabriel,Barbosa,7/31/1989,Czech Republic,81.8,182,O+
Philemon,Yusupov,9/22/1990,Denmark,105.4,184,O+
Nicolas,Cunha,2/15/1992,Canada,106.7,173,A-
Dana,Francis,5/28/1985,Czech Republic,73.1,175,O+
Danny,Collazo,3/22/1985,Cyprus (Anglicized),106.1,168,A-
Cameron,McIntosh,5/18/1996,Cyprus (Anglicized),92.6,189,B+
Gregor,Cameron,7/7/1992,Canada,75.5,190,O+
Martim,Silva,11/19/1982,Cyprus (Anglicized),76.7,184,AB+
Eric,Petty,7/30/1992,Czech Republic,63.2,182,B+
Klim,Andrejew,5/22/1990,Cyprus (Anglicized),83.7,168,A-
Heribald,Sandheaver,2/8/1981,Cyprus (Anglicized),62.4,106,O+
Kalimac,Gawkroger,12/24/1980,Brazil,51.3,96,O+
Fredegar,Banks,9/10/1989,Canada,48.7,71,O-
Harding,Smallburrow,5/31/1983,Austria,59.1,106,O+
Marat,Medvedev,2/15/1995,Cyprus (Anglicized),94.0,180,O+
Michael,Najera,11/20/1995,Brazil,96.0,163,A+
Darragh,Maclean,12/17/1981,Belgium,96.7,171,B+
Nicolas,Kerr,11/6/1988,Cyprus (Anglicized),86.2,184,O+
Vladlen,Lavrentiev,1/22/1993,Cyprus (Anglicized),62.3,169,AB+
Spiridon,Aksakov,3/6/1991,Canada,71.0,182,O-
Dillon,Anderson,3/24/1990,Denmark,76.4,181,A+
Iskander,Evseyev,1/4/1981,Austria,62.0,188,A+
William,Benton,11/28/1994,Czech Republic,99.6,182,O+
Nicolas,Ribeiro,10/8/1984,Czech Republic,98.2,170,B+
Porphyry,Artemiev,8/21/1986,Canada,83.5,168,O+
Carambo,Brandagamba,6/28/1984,Austria,45.4,106,AB+
Timothy,Tikhonov,11/12/1984,Canada,70.8,179,B+
Douglas,Sousa,11/10/1980,Cyprus (Anglicized),78.1,175,O+
Edward,Baranov,4/14/1980,Austria,81.2,181,B+
Luís,Martins,3/1/1995,Belgium,61.7,190,A+
Hildigrim,Chubb-Baggins,12/15/1990,Czech Republic,57.0,68,AB+
Ahmed,Seleznev,4/5/1989,Austria,102.4,189,B+
Ivan,McIntyre,10/31/1984,Belgium,75.1,186,A+
Baillie,Ross,2/22/1981,Denmark,98.5,169,B+
Vinícius,Cavalcanti,6/30/1980,Cyprus (Anglicized),64.6,179,O+
Cotman,Noakes,5/15/1981,Brazil,66.5,67,A+
Struan,Kerr,6/8/1983,Belgium,97.5,182,O+
Ramiro,Sozonov,8/12/1992,Cyprus (Anglicized),65.7,181,A+
Nicholas,Bowersox,4/29/1986,Belgium,101.4,170,O+
Micah,McDonald,2/18/1984,Austria,63.4,188,A+
Savely,Balabanov,12/12/1983,Cyprus (Anglicized),83.2,173,O-
Leonardo,Lima,6/23/1990,Austria,95.0,186,A+
Paramon,Biryukov,1/23/1997,Belgium,87.7,184,B+
Alfred,Childs,10/10/1992,Czech Republic,100.0,185,B+
Zinovy,Bobrov,6/15/1986,Czech Republic,68.8,187,A+
Leonardo,Fernandes,12/9/1981,Canada,79.7,180,B+
